,zyzaks,0
391,ziffer,0.0
392,ziegler,0.0
393,ziegfeld,0.0
397,zidane,0.0
399,zibby,0.0
400,ziad,0.0
401,zia,0.0
402,zi,0.0
403,zhou,0.0
405,zhivago,0.0
407,zhiban,0.0
408,zhenyuns,0.0
409,zhenyun,0.0
410,zhenya,0.0
411,zheng,0.0
414,zhen,0.0
417,zhejiang,0.0
418,zhaos,0.0
419,zhaonan,0.0
420,zhao,0.0
424,zhange,0.0
425,zhang,0.0
430,zeynep,0.0
431,zeuss,0.0
433,zeusis,0.0
434,zeus,0.0
445,zetian,0.0
446,zetas,0.0
447,zetan,0.0
448,zetajones,0.0
449,zest,0.0
451,zerox,0.0
452,zerotolerance,0.0
453,zeros,0.0
454,zeroni,0.0
455,zerogravity,0.0
456,zeroes,0.0
459,zero,0.0
483,zeriths,0.0
484,zerith,0.0
485,zeppelinlike,0.0
486,zeppelin,0.0
489,zephyr,0.0
490,zepeda,0.0
491,zentropa,0.0
492,zenon,0.0
493,zenobias,0.0
494,zenobia,0.0
495,zenmaster,0.0
496,zenlike,0.0
497,zenji,0.0
498,zenith,0.0
500,zenga,0.0
501,zeng,0.0
502,zendegi,0.0
503,zenda,0.0
504,zena,0.0
505,zen,0.0
512,zemeckis,0.0
513,zeman,0.0
514,zem,0.0
515,zellweger,0.0
516,zelli,0.0
517,zeller,0.0
518,zelin,0.0
519,zelig,0.0
520,zeleny,0.0
521,zelenkas,0.0
522,zelda,0.0
523,zekiel,0.0
524,zeke,0.0
530,zeitgeist,0.0
531,zeigler,0.0
532,zehras,0.0
533,zehra,0.0
534,zehlendorf,0.0
535,zeg,0.0
536,zefram,0.0
537,zeffer,0.0
538,zeena,0.0
539,zeebads,0.0
540,zeebad,0.0
541,zee,0.0
544,zedus,0.0
545,zeds,0.0
546,zedong,0.0
547,zedd,0.0
548,zed,0.0
552,zeca,0.0
553,zebrasuit,0.0
554,zebras,0.0
555,zebraman,0.0
556,zebra,0.0
563,zeb,0.0
564,zealousness,0.0
565,zealously,0.0
568,zealous,0.0
570,zealots,0.0
571,zealotic,0.0
572,zealot,0.0
575,zealands,0.0
579,zealand,0.0
599,zeal,0.0
602,zdoburros,0.0
603,zdoburro,0.0
604,zboys,0.0
605,zbigniew,0.0
606,zazie,0.0
607,zazas,0.0
608,zaza,0.0
609,zaysen,0.0
610,zayn,0.0
611,zayed,0.0
612,zavadil,0.0
613,zatoichis,0.0
615,zatoichi,0.0
639,zathura,0.0
640,zatch,0.0
641,zaslavsky,0.0
642,zarth,0.0
643,zartan,0.0
644,zaroffs,0.0
645,zaroff,0.0
646,zarno,0.0
647,zarkovs,0.0
648,zarkov,0.0
651,zare,0.0
652,zardozs,0.0
653,zardoz,0.0
654,zardeh,0.0
655,zar,0.0
656,zaps,0.0
657,zappy,0.0
658,zapped,0.0
661,zappa,0.0
662,zapp,0.0
663,zaphod,0.0
664,zapata,0.0
666,zapas,0.0
667,zapa,0.0
668,zap,0.0
670,zao,0.0
671,zanzibar,0.0
673,zanzi,0.0
674,zany,0.0
680,zanussi,0.0
681,zanti,0.0
682,zano,0.0
683,zanies,0.0
684,zangaros,0.0
685,zangaro,0.0
686,zanfields,0.0
687,zaney,0.0
688,zanes,0.0
689,zane,0.0
693,zandt,0.0
694,zandozan,0.0
695,zandalee,0.0
696,zanconia,0.0
697,zana,0.0
699,zan,0.0
700,zamunda,0.0
701,zamperini,0.0
702,zampano,0.0
703,zamora,0.0
704,zamolxis,0.0
705,zamindar,0.0
706,zamfirova,0.0
707,zamboni,0.0
708,zambian,0.0
709,zam,0.0
710,zaleska,0.0
711,zakone,0.0
713,zakariyo,0.0
714,zak,0.0
717,zaitsev,0.0
718,zaire,0.0
720,zainab,0.0
721,zaief,0.0
722,zaid,0.0
723,zahras,0.0
724,zahra,0.0
726,zahedi,0.0
727,zagros,0.0
728,zagreb,0.0
729,zagon,0.0
730,zaftig,0.0
731,zadra,0.0
732,zack,0.0
745,zachs,0.0
752,zacharys,0.0
753,zachary,0.0
764,zacharia,0.0
765,zacharaya,0.0
766,zachanassian,0.0
767,zach,0.0
781,zac,0.0
784,zabladowski,0.0
785,zabijaniu,0.0
786,zabel,0.0
787,zaara,0.0
788,z,0.0
801,yzmas,0.0
802,yzma,0.0
803,ywca,0.0
804,yvonne,0.0
807,yvon,0.0
808,yvette,0.0
811,yves,0.0
814,yvelines,0.0
815,yvan,0.0
818,yvaine,0.0
819,yuzo,0.0
820,yuus,0.0
821,yuuichi,0.0
822,yuu,0.0
823,yutian,0.0
824,yusufs,0.0
825,yusuf,0.0
829,yussel,0.0
830,yusheng,0.0
831,yus,0.0
833,yurt,0.0
834,yuriko,0.0
835,yuri,0.0
841,yura,0.0
842,yuppies,0.0
850,yuppie,0.0
862,yup,0.0
863,yungmee,0.0
864,yung,0.0
865,yunchong,0.0
866,yun,0.0
868,yumyum,0.0
870,yummy,0.0
871,yummies,0.0
872,yumiko,0.0
873,yumi,0.0
874,yumeko,0.0
875,yuma,0.0
878,yum,0.0
879,yuliet,0.0
880,yulia,0.0
881,yuletide,0.0
882,yulaws,0.0
883,yulaw,0.0
884,yul,0.0
885,yukon,0.0
890,yuko,0.0
892,yukis,0.0
894,yukios,0.0
895,yukio,0.0
897,yukinojo,0.0
898,yukino,0.0
899,yukiko,0.0
901,yukie,0.0
902,yuki,0.0
906,yujiro,0.0
907,yuji,0.0
909,yui,0.0
910,yugoslavian,0.0
916,yugoslavia,0.0
925,yugoslav,0.0
929,yugi,0.0
930,yuens,0.0
931,yuen,0.0
936,yuelin,0.0
937,yudhishthira,0.0
938,yuddys,0.0
939,yuddy,0.0
940,yudas,0.0
941,yuda,0.0
943,yubari,0.0
944,yubaba,0.0
945,yuanyin,0.0
946,yuanlong,0.0
947,yuanjia,0.0
949,yuan,0.0
956,yu,0.0
968,ysuke,0.0
969,ys,0.0
970,yrs,0.0
971,ypres,0.0
972,yoyo,0.0
974,youtube,0.0
977,youths,0.0
1008,youthin,0.0
1009,youthfulness,0.0
1010,youthfully,0.0
1011,youthfullooking,0.0
1012,youthful,0.0
1035,youth,0.0
1236,youssef,0.0
1237,yousef,0.0
1238,yourselfeven,0.0
1239,yourself,0.0
1249,yours,0.0
1252,youre,0.0
1257,your,0.0
1259,youor,0.0
1260,yount,0.0
1261,younnan,0.0
1262,youngsu,0.0
1263,youngstown,0.0
1264,youngsters,0.0
1283,youngster,0.0
1296,youngsoo,0.0
1297,youngshin,0.0
1298,youngs,0.0
1301,youngmi,0.0
1302,youngmarried,0.0
1303,youngish,0.0
1304,youngin,0.0
1305,younghill,0.0
1306,younggoon,0.0
1307,younggoo,0.0
1308,youngest,0.0
1390,younger,0.0
1710,youngchan,0.0
1711,youngblood,0.0
1712,young,0.0
4674,younes,0.0
4676,youichi,0.0
4677,you,0.0
4725,yotsuya,0.0
4726,yosuke,0.0
4728,yossun,0.0
4729,yossi,0.0
4731,yossele,0.0
4732,yoshiwara,0.0
4733,yoshitsune,0.0
4734,yoshito,0.0
4735,yoshis,0.0
4736,yoshioka,0.0
4737,yoshinaka,0.0
4738,yoshimura,0.0
4739,yoshimi,0.0
4740,yoshikos,0.0
4741,yoshiko,0.0
4744,yoshikazu,0.0
4745,yoshikawa,0.0
4746,yoshihiro,0.0
4747,yoshie,0.0
4748,yoshido,0.0
4749,yoshida,0.0
4750,yoshiaki,0.0
4751,yoshi,0.0
4752,yosh,0.0
4753,yosemites,0.0
4754,yosemite,0.0
4759,yorkshiremen,0.0
4760,yorkshire,0.0
4771,yorks,0.0
4807,yorkparis,0.0
4808,yorkin,0.0
4809,yorkers,0.0
4826,yorker,0.0
4845,yorke,0.0
4846,york,0.0
5728,yoritomo,0.0
5729,yorie,0.0
5730,yorick,0.0
5731,yorgi,0.0
5732,yorga,0.0
5733,yore,0.0
5734,yoram,0.0
5735,yor,0.0
5736,yopougon,0.0
5737,yoonji,0.0
5738,yoon,0.0
5739,yoojung,0.0
5740,yoo,0.0
5742,yonosukes,0.0
5743,yonosuke,0.0
5744,yonoi,0.0
5745,yonkers,0.0
5749,yonica,0.0
5750,yongkoo,0.0
5751,yonghong,0.0
5752,yonggoo,0.0
5753,yongary,0.0
5754,yong,0.0
5756,yonatans,0.0
5757,yonatan,0.0
5758,yomi,0.0
5759,yom,0.0
5760,yolandi,0.0
5761,yolandahis,0.0
5762,yolanda,0.0
5764,yolafs,0.0
5765,yolaf,0.0
5766,yokums,0.0
5767,yokumberry,0.0
5768,yokota,0.0
5769,yokos,0.0
5770,yokomichi,0.0
5771,yokohama,0.0
5773,yoko,0.0
5777,yokels,0.0
5779,yokel,0.0
5780,yokai,0.0
5781,yojimbo,0.0
5782,yoichi,0.0
5783,yohan,0.0
5784,yogurt,0.0
5785,yogoro,0.0
5786,yogis,0.0
5787,yogi,0.0
5791,yoga,0.0
5796,yoelson,0.0
5797,yods,0.0
5798,yodha,0.0
5799,yoddles,0.0
5800,yoda,0.0
5802,yobi,0.0
5803,yo,0.0
5807,yngve,0.0
5808,ynez,0.0
5809,ymir,0.0
5810,yllana,0.0
5811,ylfa,0.0
5812,yk,0.0
5813,yiufais,0.0
5814,yiufai,0.0
5815,yip,0.0
5817,yinyins,0.0
5818,yinyin,0.0
5819,yings,0.0
5820,ying,0.0
5825,yin,0.0
5830,yimous,0.0
5831,yilong,0.0
5832,yilmaz,0.0
5833,yihang,0.0
5834,yigal,0.0
5835,yien,0.0
5836,yields,0.0
5843,yielding,0.0
5845,yielded,0.0
5848,yield,0.0
5850,yiddish,0.0
5851,yi,0.0
5854,yhfs,0.0
5855,ygor,0.0
5856,ygam,0.0
5857,yf21,0.0
5858,yf19,0.0
5859,yeyos,0.0
5860,yevtushenkocaptures,0.0
5861,yevgeny,0.0
5862,yeungs,0.0
5863,yeung,0.0
5864,yetta,0.0
5865,yetis,0.0
5866,yeti,0.0
5868,yeters,0.0
5869,yeter,0.0
5870,yet,0.0
6252,yesteryear,0.0
6253,yesterdays,0.0
6254,yesterday,0.0
6258,yeshiva,0.0
6260,yeseung,0.0
6261,yes,0.0
6291,yeojin,0.0
6292,yentl,0.0
6293,yente,0.0
6294,yenisei,0.0
6295,yen,0.0
6305,yemeni,0.0
6306,yemen,0.0
6308,yemanja,0.0
6309,yeltsins,0.0
6310,yelsky,0.0
6311,yelnats,0.0
6312,yells,0.0
6318,yellowstone,0.0
6319,yellowleg,0.0
6320,yellowknifebased,0.0
6321,yellowknife,0.0
6322,yellowjacket,0.0
6323,yellowcake,0.0
6324,yellowbrickroad,0.0
6325,yellowbeards,0.0
6326,yellowbeard,0.0
6327,yellow,0.0
6366,yellnikoff,0.0
6367,yelling,0.0
6370,yeller,0.0
6371,yellen,0.0
6372,yelled,0.0
6373,yelland,0.0
6374,yell,0.0
6376,yelena,0.0
6377,yelchin,0.0
6379,yekbun,0.0
6380,yeh,0.0
6381,yegor,0.0
6382,yees,0.0
6383,yeeram,0.0
6384,yeeralparil,0.0
6385,yee,0.0
6388,yeboah,0.0
6389,yearyoung,0.0
6390,yearslong,0.0
6391,yearsago,0.0
6393,years,0.0
8505,yearround,0.0
8507,yearolds,0.0
8509,yearold,0.0
8592,yearns,0.0
8610,yearning,0.0
8623,yearned,0.0
8624,yearn,0.0
8626,yearly,0.0
8628,yearlong,0.0
8629,yearling,0.0
8630,yearbook,0.0
8632,yearandahalf,0.0
8633,year,0.0
9421,yeah,0.0
9425,yeager,0.0
9429,ye,0.0
9431,yazoo,0.0
9435,yazidi,0.0
9436,yazici,0.0
9437,yaz,0.0
9438,yayoi,0.0
9439,yaya,0.0
9440,yavin,0.0
9441,yau,0.0
9442,yatterman,0.0
9443,yatsens,0.0
9444,yatinder,0.0
9445,yates,0.0
9446,yateley,0.0
9447,yat,0.0
9449,yasus,0.0
9450,yasumi,0.0
9451,yasukos,0.0
9452,yasuko,0.0
9454,yasujir,0.0
9455,yasui,0.0
9456,yasuhisa,0.0
9457,yasuda,0.0
9458,yasubei,0.0
9459,yasu,0.0
9460,yassine,0.0
9461,yasmins,0.0
9462,yasmine,0.0
9465,yasmina,0.0
9466,yasmin,0.0
9470,yasiin,0.0
9471,yashvardhan,0.0
9472,yasha,0.0
9473,yash,0.0
9475,yaron,0.0
9476,yarn,0.0
9477,yarkor,0.0
9478,yardsand,0.0
9479,yards,0.0
9482,yardleys,0.0
9483,yardley,0.0
9484,yardies,0.0
9485,yardie,0.0
9486,yard,0.0
9537,yaqui,0.0
9538,yaphet,0.0
9540,yaphank,0.0
9541,yaoshi,0.0
9542,yansheng,0.0
9543,yansan,0.0
9544,yanosuke,0.0
9545,yanos,0.0
9546,yanomamos,0.0
9547,yanomami,0.0
9548,yano,0.0
9549,yanne,0.0
9550,yanks,0.0
9553,yanko,0.0
9555,yanki,0.0
9556,yankels,0.0
9557,yankel,0.0
9559,yankees,0.0
9564,yankee,0.0
9583,yanked,0.0
9584,yankbrit,0.0
9585,yank,0.0
9587,yanji,0.0
9588,yanis,0.0
9589,yangyang,0.0
9590,yangtze,0.0
9593,yangs,0.0
9595,yang,0.0
9610,yancy,0.0
9611,yancey,0.0
9612,yan,0.0
9615,yamura,0.0
9616,yamcha,0.0
9617,yamazaki,0.0
9618,yamauchi,0.0
9619,yamato,0.0
9621,yamashita,0.0
9622,yamane,0.0
9624,yaman,0.0
9625,yamamura,0.0
9627,yamamoto,0.0
9629,yamakasis,0.0
9630,yamagishi,0.0
9631,yamadas,0.0
9632,yamada,0.0
9633,yam,0.0
9634,yales,0.0
9635,yale,0.0
9647,yakuzacontrolled,0.0
9648,yakuza,0.0
9700,yakut,0.0
9701,yakusa,0.0
9702,yakup,0.0
9703,yakumos,0.0
9704,yaks,0.0
9705,yakov,0.0
9706,yakob,0.0
9707,yaki,0.0
9708,yak,0.0
9709,yair,0.0
9710,yaichiro,0.0
9711,yahzee,0.0
9712,yahweh,0.0
9713,yahia,0.0
9714,yagyu,0.0
9719,yagihara,0.0
9720,yaghal,0.0
9721,yagami,0.0
9724,yael,0.0
9725,yadav,0.0
9726,yackey,0.0
9727,yacine,0.0
9728,yachtsman,0.0
9729,yachts,0.0
9730,yachtmates,0.0
9731,yachting,0.0
9733,yacht,0.0
9765,ya,0.0
9767,y13,0.0
9768,y,0.0
9770,xxy,0.0
9771,xxx,0.0
9774,xviii,0.0
9775,xvi,0.0
9779,xv,0.0
9780,xuzhou,0.0
9781,xuan,0.0
9782,xu,0.0
9784,xtreme,0.0
9785,xt59,0.0
9786,xs,0.0
9789,xrays,0.0
9792,xray,0.0
9794,xrated,0.0
9795,xparty,0.0
9796,xochimilco,0.0
9797,xo,0.0
9800,xmen,0.0
9804,xmas,0.0
9805,xlaced,0.0
9806,xixth,0.0
9807,xiv,0.0
9812,xiu,0.0
9814,xinyi,0.0
9815,xingu,0.0
9816,xings,0.0
9817,xinghua,0.0
9818,xing,0.0
9819,xin,0.0
9820,xilians,0.0
9821,xiii,0.0
9822,xii,0.0
9825,xiaokangs,0.0
9826,xiaokang,0.0
9827,xiaochun,0.0
9828,xiao,0.0
9831,xiang,0.0
9832,xian,0.0
9835,xi,0.0
9837,xhabbo,0.0
9838,xgames,0.0
9840,xfactor,0.0
9841,xf120,0.0
9842,xerxes,0.0
9844,xerox,0.0
9847,xenophobic,0.0
9849,xenophobia,0.0
9854,xenomorphs,0.0
9855,xeno,0.0
9856,xenia,0.0
9860,xblade,0.0
9861,xayide,0.0
9862,xaviers,0.0
9863,xavier,0.0
9880,xavi,0.0
9881,xavante,0.0
9882,xantos,0.0
9883,xans,0.0
9884,xander,0.0
9885,xan,0.0
9886,xala,0.0
9887,xadrez,0.0
9888,x77,0.0
9889,x5,0.0
9890,x2,0.0
9891,x,0.0
9927,wzvz,0.0
9928,wz,0.0
9929,wyrick,0.0
9930,wyoming,0.0
9943,wynter,0.0
9944,wynnegate,0.0
9945,wynnecandy,0.0
9946,wynn,0.0
9948,wynette,0.0
9949,wyndham,0.0
9950,wynant,0.0
9951,wyn,0.0
9952,wyman,0.0
9954,wylie,0.0
9955,wylers,0.0
9956,wyler,0.0
9957,wyld,0.0
9958,wyke,0.0
9960,wydell,0.0
9961,wyatts,0.0
9963,wyatt,0.0
9980,wwiis,0.0
9982,wwiii,0.0
9983,wwii,0.0
10078,wwi,0.0
10108,wwf,0.0
10110,wwe,0.0
10112,ww2,0.0
10123,ww1,0.0
10126,ww,0.0
10137,wv,0.0
10138,wutang,0.0
10140,wushuang,0.0
10141,wushu,0.0
10143,wurtzel,0.0
10144,wurman,0.0
10145,wuornos,0.0
10147,wulla,0.0
10148,wulfric,0.0
10149,wuhuan,0.0
10150,wuhan,0.0
10151,wuernos,0.0
10152,wu,0.0
10162,wto,0.0
10164,wtc,0.0
10165,wt,0.0
10166,wsu,0.0
10167,wry,0.0
10172,wrung,0.0
10173,wrought,0.0
10177,wroth,0.0
10178,wrote,0.0
10224,wronke,0.0
10225,wrongturns,0.0
10226,wrongs,0.0
10233,wrongnumber,0.0
10234,wrongly,0.0
10245,wrongfully,0.0
10249,wrongful,0.0
10254,wronged,0.0
10266,wrongdoing,0.0
10267,wrongdoers,0.0
10268,wrongby,0.0
10269,wrong,0.0
10572,wron,0.0
10573,wrobert,0.0
10574,written,0.0
10667,writings,0.0
10675,writing,0.0
10822,writin,0.0
10823,writes,0.0
10906,writers,0.0
10960,writerradio,0.0
10961,writerproducer,0.0
10962,writerpolitician,0.0
10963,writerhero,0.0
10964,writerdirectorstar,0.0
10965,writerdirectors,0.0
10966,writerdirectorproducer,0.0
10967,writerdirector,0.0
10978,writercop,0.0
10979,writer,0.0
11282,write,0.0
11405,wristwatch,0.0
11407,wrists,0.0
11408,wristband,0.0
11409,wrist,0.0
11415,wrinkles,0.0
11416,wrinkled,0.0
11417,wrinkle,0.0
11418,wringer,0.0
11419,wrigley,0.0
11421,wrights,0.0
11423,wrightman,0.0
11424,wrightdesigned,0.0
11425,wright,0.0
11444,wriggle,0.0
11446,wretched,0.0
11449,wrestling,0.0
11484,wrestles,0.0
11495,wrestlers,0.0
11501,wrestler,0.0
11519,wrestlemania,0.0
11520,wrestle,0.0
11524,wrest,0.0
11527,wrenwood,0.0
11528,wrens,0.0
11529,wrenching,0.0
11532,wrenches,0.0
11533,wrenched,0.0
11534,wrench,0.0
11537,wren,0.0
11540,wreckwave,0.0
11541,wrecks,0.0
11554,wreckit,0.0
11555,wrecking,0.0
11560,wreckers,0.0
11561,wrecker,0.0
11562,wrecked,0.0
11579,wreckage,0.0
11593,wreck,0.0
11615,wreaks,0.0
11626,wreaking,0.0
11638,wreak,0.0
11662,wray,0.0
11663,wrath,0.0
11700,wraps,0.0
11707,wrapping,0.0
11709,wrapper,0.0
11710,wrapped,0.0
11728,wrangling,0.0
11729,wrangles,0.0
11730,wrangler,0.0
11733,wrangle,0.0
11734,wrackets,0.0
11735,wracked,0.0
11739,wr,0.0
11741,wozniak,0.0
11743,woyzecks,0.0
11744,woyzeck,0.0
11745,wow,0.0
11747,woven,0.0
11757,wounds,0.0
11807,wounding,0.0
11809,wounded,0.0
11921,wound,0.0
11950,wouldve,0.0
11951,wouldnt,0.0
11952,wouldhavebeen,0.0
11953,wouldbemusketeer,0.0
11954,wouldbe,0.0
11988,would,0.0
12702,wouild,0.0
12703,wotton,0.0
12704,wot,0.0
12705,worthy,0.0
12730,worthwhile,0.0
12733,worthlessness,0.0
12735,worthless,0.0
12743,worthington,0.0
12745,worthing,0.0
12746,worthiness,0.0
12748,worth,0.0
12834,worstcasescenario,0.0
12835,worst,0.0
12963,worships,0.0
12969,worshipping,0.0
12970,worshipped,0.0
12971,worshiping,0.0
12973,worshipers,0.0
12975,worshiper,0.0
12976,worshiped,0.0
12981,worship,0.0
13000,worsethanclouseau,0.0
13001,worsens,0.0
13012,worsening,0.0
13017,worsened,0.0
13019,worsen,0.0
13024,worse,0.0
13195,worrying,0.0
13204,worry,0.1305000107
13230,worrisome,0.0
13233,worries,0.0
13260,worried,0.0
13314,worricker,0.0
13316,worrell,0.0
13319,worp,0.0
13320,wornout,0.0
13321,worn,0.0
13334,wormwood,0.0
13335,worms,0.0
13348,wormold,0.0
13349,wormhole,0.0
13353,wormer,0.0
13355,wormboy,0.0
13356,worm,0.0
13365,worley,0.0
13366,worldwidethe,0.0
13367,worldwide,0.0
13406,worldweary,0.0
13416,worldwe,0.0
13417,worldwar,0.0
13418,worldvision,0.0
13419,worldviews,0.0
13420,worldview,0.0
13423,worldtype,0.0
13424,worldtraveling,0.0
13425,worldthe,0.0
13427,worlds,0.0
13687,worldrenowned,0.0
13700,worldrecordsetting,0.0
13701,worldpress,0.0
13702,worldlywise,0.0
13705,worldly,0.0
13722,worldlies,0.0
13723,worldleading,0.0
13724,worldis,0.0
13725,worldfamous,0.0
13731,worldending,0.0
13732,worldclass,0.0
13738,worldchanging,0.0
13739,worldcautions,0.0
13740,worldand,0.0
13741,world,0.0
15830,workspace,0.0
15831,worksite,0.0
15833,workshops,0.0
15834,workshop,0.0
15840,works,0.0
16425,workplace,0.0
16437,workout,0.0
16438,workor,0.0
16439,workobsessed,0.0
16440,workmen,0.0
16442,workmates,0.0
16443,workmate,0.0
16447,workload,0.0
16449,worklife,0.0
16450,workless,0.0
16451,workings,0.0
16461,workingclass,0.0
16493,working,0.0
17148,workhouse,0.0
17153,workforce,0.0
17156,workflow,0.0
17157,workers,0.0
17279,worker,0.0
17429,worked,0.0
17522,workbe,0.0
17523,workat,0.0
17524,workalone,0.0
17525,workaholic,0.0
17542,work,0.0
18723,wore,0.0
18727,words,0.0
18854,wordlywise,0.0
18855,wordlessly,0.0
18856,wordless,0.0
18861,wording,0.0
18863,worden,0.0
18864,worded,0.0
18865,word,0.0
18987,worcester,0.0
18988,wor,0.0
18989,wop,0.0
18990,woozles,0.0
18991,woozeling,0.0
18992,wooters,0.0
18993,wooster,0.0
18994,woos,0.0
19003,wooping,0.0
19004,wooly,0.0
19006,woolong,0.0
19008,woolly,0.0
19012,woolfolk,0.0
19013,woolf,0.0
19015,wooley,0.0
19017,wool,0.0
19020,wooing,0.0
19026,woofulls,0.0
19027,wooed,0.0
19032,woodys,0.0
19034,woody,0.360782523
19062,woodworking,0.0
19063,woodwards,0.0
19064,woodward,0.0
19068,woodus,0.0
19069,woodsy,0.0
19070,woodstock,0.0
19079,woodsmen,0.0
19080,woodsman,0.0
19084,woodsboro,0.0
19086,woods,0.0
19211,woodrys,0.0
19212,woodry,0.0
19213,woodruff,0.0
19215,woodrow,0.0
19225,woodroof,0.0
19226,woodnhead,0.0
19227,woodmans,0.0
19228,woodman,0.0
19231,woodlawn,0.0
19232,woodlands,0.0
19234,woodland,0.0
19239,woodjiminy,0.0
19240,woodhouses,0.0
19241,woodhouse,0.0
19245,woodenlegged,0.0
19246,wooden,0.0
19276,wooded,0.0
19279,woodcutters,0.0
19280,woodcutter,0.0
19283,woodcocks,0.0
19284,woodcock,0.0
19286,woodchoppers,0.0
19287,woodbine,0.0
19290,wood,0.0
19318,woochi,0.0
19319,woo,0.0
19339,wont,0.0
19342,wonloss,0.0
19343,wonka,0.0
19347,wongs,0.0
19351,wong,0.0
19368,wondrous,0.0
19375,wonderstone,0.0
19376,wonders,0.0
19424,wonderment,0.0
19426,wonderman,0.0
19427,wonderly,0.0
19428,wonderland,0.0
19441,wondering,0.0
19459,wonderfully,0.0
19467,wonderful,0.0
19507,wondered,0.0
19508,wonderbut,0.0
19509,wonderbra,0.0
19510,wonder,0.0
19579,won,0.0
19583,womens,0.0
19635,womenfolk,0.0
19636,women,0.0
20394,womb,0.0
20396,womanyounger,0.0
20397,womans,0.0
20481,womanly,0.0
20484,womanizingalthough,0.0
20485,womanizing,0.0
20502,womanizer,0.0
20523,womanising,0.0
20528,womaniser,0.0
20531,womanhood,0.0
20538,womanchild,0.0
20539,womanchaser,0.0
20540,womanabouttown,0.0
20541,womana,0.0
20542,woman,0.0
22200,womack,0.0
22202,wolves,0.0
22216,wolverton,0.0
22217,wolverinesto,0.0
22218,wolverines,0.0
22219,wolverine,0.0
22224,wolseley,0.0
22225,wolper,0.0
22226,wolodyjowski,0.0
22227,wollners,0.0
22228,wolfsschanze,0.0
22229,wolfsized,0.0
22230,wolfschtagg,0.0
22231,wolfs,0.0
22236,wolfram,0.0
22237,wolfpack,0.0
22239,wolfmeyer,0.0
22240,wolfman,0.0
22243,wolflike,0.0
22244,wolfinger,0.0
22245,wolfhouse,0.0
22246,wolfhausen,0.0
22247,wolfhause,0.0
22248,wolfgod,0.0
22249,wolfgirl,0.0
22250,wolfgangs,0.0
22251,wolfgang,0.0
22258,wolff,0.0
22262,wolfes,0.0
22264,wolfe,0.0
